,tweet
93,"['winter', 'protect', 'other', 'get', 'covid19', 'booster', 'soon', 'pleas', 'also', 'get', 'flu', 'jab', 'teamla', 'director', 'clinic', 'educationpaulin', 'cranmerreceiv', 'flu', 'vaccin', 'colleagu', 'ami', 'yesterday', 'brentsid', 'educ', 'centr', 'http', 'co', 'mgbdlikux2']"
94,"['quier', 'reformar', 'tu', 'baño', 'en', 'valencia', 'con', 'una', 'empresa', 'de', 'confianzacumplimo', 'medida', 'covid19http', 'co', 'jblvfsh5dn']"
95,"['', 'ministerodella', 'il', 'nuovo', 'decreto', 'del', '16', '1vale', 'anch', 'per', 'lavoratori', 'transfrontalieri', 'covid19', 'statodiemergenza', 'transfrontalieri']"
96,"['everi', 'adult', 'countri', 'need', 'get', 'covid19', 'booster', 'vaccinebecaus', 'two', 'dose', 'give', 'enough', 'protect', 'catch', 'omicron', 'today', '18', 'book', 'dose', 'http', 'co', 'yancvwlsj', 'http', 'co', 'ntl28ldqnp']"
97,"['', 'atenció', 'amplien', 'el', 'espai', 'en', 'el', 'qual', 'es', 'demanarcertificat', 'covid19', 'restaurantsbar', 'cafeteri', 'cabuda', '50', 'per', 'residènciesdiscotequ', 'establi', 'amb', 'celebracion', '50', 'per', 'bar', 'copespubsestabli', 'turístic', 'amb', 'habcompartideshttp', 'co', 'in2m4thjnw']"
98,"['check', 'covid19', 'vaccin', 'clinic', 'take', 'place', 'today', 'prajapati', 'centrefind', 'nearest', 'walk', 'clinic', 'get', 'vaccin', 'athttp', 'co', 'vh6e95h6pr', 'getvaxxedstayontrack', 'http', 'co', 'nniobmd119']"
99,"['', 'covid19i', 'dati', 'di', 'crema', 'e', 'del', 'cremascoat', 'val', 'padana', 'sono', '6i', 'nuovi', 'casi', 'positivi', 'guarda', 'la', 'mappa', 'interattiva', 'del', 'cremasco', 'http', 'co', 'rvtpywuse']"
100,"['coronaviru', 'case', 'sri', 'lanka', 'current', '576', '194', 'activ', '15', '430', 'case', 'today', '0', 'death', '14', '66', 'case', 'yesterday', '76', 'recov', '546', '10', 'death', 'today', '0', 'total', 'pcr', 'test', '5', '776', '97', 'statu', 'id', '3', 'covid19sl', 'covid19lk', 'http', 'co', 'vajndpcsg2']"
101,"['el', 'próximo', '3de', 'diciembr', 'de', '202vencerel', 'plazo', 'para', 'que', 'lo', 'contribuyent', 'con', 'obligacion', 'pendient', 'con', 'la', 'dian', '30', 'de', 'junio', 'de', '2021', 'que', 'el', 'incumplimiento', 'haya', 'sido', 'ocasionado', 'agravado', 'como', 'consecuencia', 'de', 'la', 'pandemia', 'generada', 'por', 'covid19', 'http', 'co', 'iduwfwy0eg']"
102,"['el', 'enfermo', 'covid19', 'omicron', 'es', 'un', 'tratamiento', 'médico', 'el', 'enfermo', 'covid19', 'delta', 'es', 'otro', 'tratamientocomo', 'el', 'médico', 'sabe', 'que', 'variant', 'carga', 'encima', 'su', 'pacient']"
103,"['', 'crvehicular', 'restricciónvehicularcr', 'covid19', 'traficocr', 'quedateencasa', 'http', 'co', 'dgjb4ncibx']"
104,"['la', 'pandemia', 'de', 'covid19', 'ha', 'provocado', 'cambio', 'en', 'la', 'farmaciapero', 'también', 'en', 'el', 'pacient', 'en', 'quconsistenun', 'estudio', 'de', 'iqvia_spain', 'analiza', 'lo', 'cambio', 'en', 'la', 'demanda', 'en', 'lo', 'canal', 'de', 'compra', 'http', 'co', 'bxursbcrnjhttp', 'co', 'nw081i6peg']"
105,"['', 'covid19', 'opérat', 'de', 'vaccin', 'larna', 'jeudi', '16', '1de', '14h', '18h', 'au', 'sein', 'de', 'la', 'sall', 'santagnpar', 'le', 'professionnel', 'de', 'santépris', 'rdv', 'en', 'appel', 'la', 'mairi', 'de', 'larna', 'retrouvez', 'tout', 'le', 'inform', 'sur', 'l', 'offr', 'vaccinal', 'en', 'ardèch', 'http', 'co', 'xmcqjqgx59http', 'co', 'hnvil67tkp']"
106,"['australia', 'ink', 'principl', 'agreement', 'moderna', 'product', 'around', '100', 'million', 'mrnavaccin', 'australia', 'yearstart', '2024', 'covid19', 'covidvaccinehttp', 'co', 'fguwvcjjxr']"
107,"['', 'artificialintellig', 'predict', 'covid19', 'patient', 'need', 'icu', 'care', 'ai', 'technolog', 'train', 'use', 'data', 'around', '400', 'caseshttp', 'co', 'ww1dtovplb', 'healthcar']"
108,"['sada', 'uradit', 'analizu', 'podatakapresek', 'stanjakoliko', 'imat', 'od', 'početka', 'pandemij', 'covid19', 'u', 'eu', 'po', 'mesecimapreminulihzvaničnoa', 'koliko', 'je', 'uvećanj', 'mortaliteta', 'po', 'državama', 'članicamada', 'uočit', 'obim', 'netačnog', 'fake', 'izveštavanja', 'pandemiji', 'u', 'eu', '']"
